,0,1,2,3,4
178,268,广发集利一年定开债C,http://fund.eastmoney.com/000268.html,---,0.00%
179,270,建信灵活配置混合,http://fund.eastmoney.com/000270.html,0.26%,0.12%
180,271,中邮定开债A,http://fund.eastmoney.com/000271.html,---,0.06%
181,272,中邮定开债C,http://fund.eastmoney.com/000272.html,---,0.00%
182,273,华润元大安鑫灵活配置混合A,http://fund.eastmoney.com/000273.html,0.62%,0.12%
183,274,广发亚太中高收益债券,http://fund.eastmoney.com/000274.html,---,0.08%
184,275,广发亚太中高收益债券现汇,http://fund.eastmoney.com/000275.html,---,---
185,277,博时双月薪定期支付债券,http://fund.eastmoney.com/000277.html,---,0.09%
186,279,华商红利优选混合,http://fund.eastmoney.com/000279.html,0.65%,0.15%
187,286,银华信用季季红债券A,http://fund.eastmoney.com/000286.html,0.00%,0.07%
188,289,鹏华丰泰定开债A,http://fund.eastmoney.com/000289.html,0.04%,0.08%
189,290,鹏华全球高收益债(QDII),http://fund.eastmoney.com/000290.html,---,0.08%
190,294,华安生态优先混合,http://fund.eastmoney.com/000294.html,0.19%,0.15%
191,295,鹏华丰实定开债A,http://fund.eastmoney.com/000295.html,0.09%,0.08%
192,296,鹏华丰实定开债B,http://fund.eastmoney.com/000296.html,0.09%,0.00%
193,297,鹏华可转债债券A,http://fund.eastmoney.com/000297.html,0.87%,0.08%
194,298,中海纯债债券A,http://fund.eastmoney.com/000298.html,0.00%,0.08%
195,299,中海纯债债券C,http://fund.eastmoney.com/000299.html,0.00%,0.00%
196,305,中银中高等级A,http://fund.eastmoney.com/000305.html,0.00%,0.08%
197,306,天弘弘利债券,http://fund.eastmoney.com/000306.html,0.03%,0.10%
198,307,易方达黄金ETF联接A,http://fund.eastmoney.com/000307.html,-0.56%,0.07%
199,308,建信创新中国混合,http://fund.eastmoney.com/000308.html,2.33%,0.15%
200,309,大摩品质生活精选股票,http://fund.eastmoney.com/000309.html,1.92%,0.15%
201,310,安信永利信用A,http://fund.eastmoney.com/000310.html,0.25%,0.07%
202,311,景顺长城沪深300指数增强,http://fund.eastmoney.com/000311.html,1.07%,0.12%
203,312,华安沪深300增强A,http://fund.eastmoney.com/000312.html,0.71%,0.12%
204,313,华安沪深300增强C,http://fund.eastmoney.com/000313.html,0.70%,0.00%
205,314,招商瑞丰灵活配置混合发起式A,http://fund.eastmoney.com/000314.html,0.30%,0.15%
206,319,泰达淘利债券A,http://fund.eastmoney.com/000319.html,0.06%,0.08%
207,320,泰达淘利债券C,http://fund.eastmoney.com/000320.html,0.04%,0.00%
208,322,农银汇理金汇债券,http://fund.eastmoney.com/000322.html,0.02%,0.08%
209,326,南方中小盘成长股票,http://fund.eastmoney.com/000326.html,0.82%,0.15%
210,327,南方新蓝筹混合,http://fund.eastmoney.com/000327.html,0.83%,0.15%
211,328,上投摩根转型动力灵活配置混合,http://fund.eastmoney.com/000328.html,0.06%,0.15%
212,329,鹏华丰饶定开债,http://fund.eastmoney.com/000329.html,---,0.06%
213,333,长城稳固收益债券A,http://fund.eastmoney.com/000333.html,0.28%,0.08%
214,334,长城稳固收益债券C,http://fund.eastmoney.com/000334.html,0.28%,0.00%
215,335,安信永利信用C,http://fund.eastmoney.com/000335.html,0.17%,0.00%
216,336,农银研究精选混合,http://fund.eastmoney.com/000336.html,0.70%,0.15%
217,338,鹏华双债保利债券,http://fund.eastmoney.com/000338.html,0.16%,0.08%
218,339,长城医疗保健混合,http://fund.eastmoney.com/000339.html,0.90%,0.15%
219,341,嘉实新兴市场C2(QDII),http://fund.eastmoney.com/000341.html,---,---
220,342,嘉实新兴市场A1(QDII),http://fund.eastmoney.com/000342.html,---,0.08%
221,345,鹏华丰融定开债,http://fund.eastmoney.com/000345.html,---,0.06%
222,346,建信安心回报6个月定开A,http://fund.eastmoney.com/000346.html,0.09%,0.06%
223,347,建信安心回报6个月定开C,http://fund.eastmoney.com/000347.html,0.10%,0.00%
224,351,国富恒丰定期债券A,http://fund.eastmoney.com/000351.html,0.00%,0.07%
225,352,国富恒丰定期债券C,http://fund.eastmoney.com/000352.html,0.00%,0.00%
226,354,长盛城镇化主题混合,http://fund.eastmoney.com/000354.html,1.38%,0.15%
227,355,南方丰元信用增强债券A,http://fund.eastmoney.com/000355.html,0.01%,0.08%
228,356,南方丰元信用增强债券C,http://fund.eastmoney.com/000356.html,0.01%,0.00%
229,362,国泰聚信价值优势混合A,http://fund.eastmoney.com/000362.html,1.89%,0.15%
230,363,国泰聚信价值优势混合C,http://fund.eastmoney.com/000363.html,1.84%,0.00%
231,367,国泰安康定期支付混合A,http://fund.eastmoney.com/000367.html,0.27%,0.08%
232,368,汇添富沪深300安中指数,http://fund.eastmoney.com/000368.html,0.99%,0.12%
233,369,广发全球医疗保健(QDII),http://fund.eastmoney.com/000369.html,---,0.13%
234,370,广发全球医疗保健美元,http://fund.eastmoney.com/000370.html,---,---
235,372,中银惠利半年定开债,http://fund.eastmoney.com/000372.html,0.00%,0.08%
236,373,华安中证细分医药ETF联接A,http://fund.eastmoney.com/000373.html,0.89%,0.12%
237,376,华安中证细分医药ETF联接C,http://fund.eastmoney.com/000376.html,0.92%,0.00%
238,377,上投摩根双债增利债券A,http://fund.eastmoney.com/000377.html,0.19%,0.08%
239,378,上投摩根双债增利债券C,http://fund.eastmoney.com/000378.html,0.19%,0.00%
240,385,景顺长城景颐双利债券A,http://fund.eastmoney.com/000385.html,0.13%,0.08%
241,386,景顺长城景颐双利债券C,http://fund.eastmoney.com/000386.html,0.13%,0.00%
242,390,华商优势行业混合,http://fund.eastmoney.com/000390.html,1.20%,0.15%
243,394,融通通源短融债券A,http://fund.eastmoney.com/000394.html,0.06%,0.00%
244,395,汇添富安心中国债券A,http://fund.eastmoney.com/000395.html,0.00%,0.08%
245,396,汇添富安心中国债券C,http://fund.eastmoney.com/000396.html,0.08%,0.00%
246,398,华富灵活配置混合,http://fund.eastmoney.com/000398.html,0.00%,0.15%
247,402,工银纯债债券A,http://fund.eastmoney.com/000402.html,0.07%,0.08%
248,403,工银纯债债券B,http://fund.eastmoney.com/000403.html,0.06%,0.00%
249,404,易方达新兴成长灵活配置,http://fund.eastmoney.com/000404.html,0.50%,0.15%
250,406,汇添富双利增强债券A,http://fund.eastmoney.com/000406.html,0.33%,0.10%
251,407,汇添富双利增强债券C,http://fund.eastmoney.com/000407.html,0.33%,0.00%
252,408,民生加银城镇化混合A,http://fund.eastmoney.com/000408.html,0.95%,0.15%
253,409,鹏华环保产业股票,http://fund.eastmoney.com/000409.html,0.22%,0.15%
254,410,益民服务领先混合,http://fund.eastmoney.com/000410.html,0.52%,0.15%
255,411,景顺长城优质成长股票,http://fund.eastmoney.com/000411.html,1.19%,0.15%
256,414,嘉实绝对收益策略定期混合,http://fund.eastmoney.com/000414.html,0.00%,0.15%
257,415,大摩添利18个月定开债A,http://fund.eastmoney.com/000415.html,---,0.06%
258,416,大摩添利18个月定开债C,http://fund.eastmoney.com/000416.html,---,0.00%
259,417,国联安新精选混合,http://fund.eastmoney.com/000417.html,0.48%,0.15%
260,418,景顺长城成长之星股票,http://fund.eastmoney.com/000418.html,1.01%,0.15%
261,419,大摩优质信价纯债A,http://fund.eastmoney.com/000419.html,0.10%,0.08%
262,420,大摩优质信价纯债C,http://fund.eastmoney.com/000420.html,0.00%,0.00%
263,421,华泰柏瑞丰汇债券A,http://fund.eastmoney.com/000421.html,-0.03%,0.08%
264,422,华泰柏瑞丰汇债券C,http://fund.eastmoney.com/000422.html,-0.03%,0.00%
265,423,前海开源事件驱动混合A,http://fund.eastmoney.com/000423.html,0.37%,0.15%
266,431,鹏华品牌传承混合,http://fund.eastmoney.com/000431.html,1.25%,0.15%
267,432,中银优秀企业混合,http://fund.eastmoney.com/000432.html,1.30%,0.15%
268,433,安信鑫发优选混合,http://fund.eastmoney.com/000433.html,0.33%,0.10%
269,436,易方达裕惠定开混合发起式,http://fund.eastmoney.com/000436.html,0.30%,---
270,452,南方医药保健灵活配置混合,http://fund.eastmoney.com/000452.html,-0.03%,0.15%
271,457,上投摩根核心成长股票,http://fund.eastmoney.com/000457.html,1.83%,0.15%
272,458,英大领先回报混合发起式,http://fund.eastmoney.com/000458.html,1.60%,0.12%
273,462,农银主题轮动混合,http://fund.eastmoney.com/000462.html,0.28%,0.15%
274,463,华商双债丰利债券A,http://fund.eastmoney.com/000463.html,0.32%,0.08%
275,465,景顺长城鑫月薪定期支付债券,http://fund.eastmoney.com/000465.html,0.00%,0.06%
276,466,融通通瑞债券A/B,http://fund.eastmoney.com/000466.html,0.34%,0.06%
277,469,富国目标齐利一年期纯债债券,http://fund.eastmoney.com/000469.html,0.00%,0.06%
278,471,富国城镇发展股票,http://fund.eastmoney.com/000471.html,1.23%,0.15%
279,477,广发主题领先混合,http://fund.eastmoney.com/000477.html,0.16%,0.15%
280,478,建信中证500指数增强A,http://fund.eastmoney.com/000478.html,1.42%,0.15%
281,480,东方红新动力混合,http://fund.eastmoney.com/000480.html,0.86%,1.50%
282,481,华商双债丰利债券C,http://fund.eastmoney.com/000481.html,0.33%,0.00%
283,489,光大岁末红利纯债A,http://fund.eastmoney.com/000489.html,0.02%,0.08%
284,490,光大岁末红利纯债C,http://fund.eastmoney.com/000490.html,0.03%,0.00%
285,496,长安产业精选混合A,http://fund.eastmoney.com/000496.html,0.43%,0.15%
286,497,财通纯债债券A,http://fund.eastmoney.com/000497.html,-0.16%,0.08%
287,501,华富恒富18个月定开债C,http://fund.eastmoney.com/000501.html,---,0.00%
288,502,华富恒富18个月定开债A,http://fund.eastmoney.com/000502.html,---,0.08%
289,503,中信建投景和中短债A,http://fund.eastmoney.com/000503.html,0.02%,0.03%
290,504,中信建投景和中短债C,http://fund.eastmoney.com/000504.html,0.02%,0.00%
291,507,泰达宏利宏达混合A,http://fund.eastmoney.com/000507.html,0.34%,0.12%
292,508,泰达宏利宏达混合B,http://fund.eastmoney.com/000508.html,0.35%,0.00%
293,511,国泰国策驱动灵活配置混合A,http://fund.eastmoney.com/000511.html,0.49%,0.08%
294,512,国泰沪深300指数增强A,http://fund.eastmoney.com/000512.html,0.75%,0.10%
